Country_Name,Country_Code,Indicator_Name,Indicator_Code,2008
Angola,AGO,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.729148952
Angola,AGO,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,24.53988817
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.353
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,85349
Antigua and Barbuda,ATG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,12.98445194
Antigua and Barbuda,ATG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.677605396
Antigua and Barbuda,ATG,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,80.33794266
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.738
Argentina,ARG,"Population, total",SP.POP.TOTL,39676083
Argentina,ARG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,13.62609856
Argentina,ARG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.286809199
Argentina,ARG,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,80.08707985
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.549
Armenia,ARM,"Population, total",SP.POP.TOTL,2977488
Armenia,ARM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.639257645
Armenia,ARM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.145048927
Armenia,ARM,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.21570059
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.629
Aruba,ABW,"Population, total",SP.POP.TOTL,101344
Aruba,ABW,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,
Aruba,ABW,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,
Aruba,ABW,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.6
Australia,AUS,"Population, total",SP.POP.TOTL,21384400
Australia,AUS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,4.400142857
Australia,AUS,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.591783937
Australia,AUS,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.00810235
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9
Austria,AUT,"Population, total",SP.POP.TOTL,8336926
Austria,AUT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.891799773
Austria,AUT,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.652676106
Austria,AUT,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,91.45552006
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.2
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8763400
Azerbaijan,AZE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,10.64505303
Azerbaijan,AZE,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.008129625
Azerbaijan,AZE,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,85.34680962
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.787
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,348340
"Bahamas, The",BHS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,16.37042597
"Bahamas, The",BHS,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,10.12257735
"Bahamas, The",BHS,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,73.50704136
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.348
Bahrain,BHR,"Population, total",SP.POP.TOTL,1116038
Bahrain,BHR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,10.07862054
Bahrain,BHR,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,10.709604
Bahrain,BHR,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,79.21179286
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.091
Bangladesh,BGD,"Population, total",SP.POP.TOTL,147969967
Bangladesh,BGD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,37.71457623
Bangladesh,BGD,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,10.2471332
Bangladesh,BGD,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,52.03825581
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.478
Barbados,BRB,"Population, total",SP.POP.TOTL,277634
Barbados,BRB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,13.58549878
Barbados,BRB,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.099167883
Barbados,BRB,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,82.31532847
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.8
Belarus,BLR,"Population, total",SP.POP.TOTL,9528000
Belarus,BLR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.044311859
Belarus,BLR,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,10.88744081
Belarus,BLR,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,87.06829304
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.8
Belgium,BEL,"Population, total",SP.POP.TOTL,10709973
Belgium,BEL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,7.965010381
Belgium,BEL,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.229139874
Belgium,BEL,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,85.80585176
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.721
Belize,BLZ,"Population, total",SP.POP.TOTL,293544
Belize,BLZ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,20.21586925
Belize,BLZ,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,17.4027227
Belize,BLZ,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,62.38140805
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.196
Benin,BEN,"Population, total",SP.POP.TOTL,8973293
Benin,BEN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,60.49647629
Benin,BEN,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.351371498
Benin,BEN,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,33.15214702
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.404
Bermuda,BMU,"Population, total",SP.POP.TOTL,65273
Bermuda,BMU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,
Bermuda,BMU,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,
Bermuda,BMU,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.879
Bhutan,BTN,"Population, total",SP.POP.TOTL,692159
Bhutan,BTN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,36.70919745
Bhutan,BTN,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,10.4125512
Bhutan,BTN,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,52.87825136
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.454
Bolivia,BOL,"Population, total",SP.POP.TOTL,9834098
Bolivia,BOL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,35.32154909
Bolivia,BOL,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.817276131
Bolivia,BOL,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,56.86118242
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.323
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3861201
Bosnia and Herzegovina,BIH,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,1.832495372
Bosnia and Herzegovina,BIH,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,3.522110021
Bosnia and Herzegovina,BIH,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,94.64540815
Botswana,BWA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,17.268
Botswana,BWA,"Population, total",SP.POP.TOTL,1933719
Botswana,BWA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,59.95994271
Botswana,BWA,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,8.574479028
Botswana,BWA,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,31.46558861
Brazil,BRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.348
Brazil,BRA,"Population, total",SP.POP.TOTL,191765567
Brazil,BRA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,14.11631836
Brazil,BRA,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,12.027925
Brazil,BRA,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,73.85578142
Brunei Darussalam,BRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.878
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,388017
Brunei Darussalam,BRN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,9.952289355
Brunei Darussalam,BRN,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.574443074
Brunei Darussalam,BRN,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,82.47324291
Bulgaria,BGR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.5
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7623395
Bulgaria,BGR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.740678701
Bulgaria,BGR,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,3.507364933
Bulgaria,BGR,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,93.75199791
Burkina Faso,BFA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.675
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,14659646
Burkina Faso,BFA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,72.63288154
Burkina Faso,BFA,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.567438961
Burkina Faso,BFA,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,20.79965064
Burundi,BDI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.103
Burundi,BDI,"Population, total",SP.POP.TOTL,8624280
Burundi,BDI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,66.99005937
Burundi,BDI,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.234097923
Burundi,BDI,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,25.77587514
Cambodia,KHM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.314
Cambodia,KHM,"Population, total",SP.POP.TOTL,13940518
Cambodia,KHM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,46.5864407
Cambodia,KHM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.126141765
Cambodia,KHM,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,46.28739138
Cameroon,CMR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.123
Cameroon,CMR,"Population, total",SP.POP.TOTL,19595026
Cameroon,CMR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,62.61780078
Cameroon,CMR,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.46482838
Cameroon,CMR,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,30.91737805
Canada,CAN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.2
Canada,CAN,"Population, total",SP.POP.TOTL,33317662
Canada,CAN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.259552781
Canada,CAN,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.850771399
Canada,CAN,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,88.88967155
Cape Verde,CPV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.253
Cape Verde,CPV,"Population, total",SP.POP.TOTL,484651
Cape Verde,CPV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,31.1844769
Cape Verde,CPV,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,11.08615531
Cape Verde,CPV,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,57.72939931
Cayman Islands,CYM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,52912
Cayman Islands,CYM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,
Cayman Islands,CYM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,
Cayman Islands,CYM,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,
Central African Republic,CAF,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,17.119
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4185106
Central African Republic,CAF,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,65.37347184
Central African Republic,CAF,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.182016912
Central African Republic,CAF,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,27.44450573
Chad,TCD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,16.189
Chad,TCD,"Population, total",SP.POP.TOTL,11030628
Chad,TCD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,73.18234023
Chad,TCD,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.469401108
Chad,TCD,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,21.34826933
Channel Islands,CHI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.023
Channel Islands,CHI,"Population, total",SP.POP.TOTL,157554
Channel Islands,CHI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,
Channel Islands,CHI,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,
Channel Islands,CHI,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,
Chile,CHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.359
Chile,CHL,"Population, total",SP.POP.TOTL,16831184
Chile,CHL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,8.505864476
Chile,CHL,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,8.409591229
Chile,CHL,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,83.08454849
China,CHN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.06
China,CHN,"Population, total",SP.POP.TOTL,1324655000
China,CHN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,7.072270386
China,CHN,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,9.826258886
China,CHN,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,83.10146865
Colombia,COL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.512
Colombia,COL,"Population, total",SP.POP.TOTL,45153037
Colombia,COL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,13.13214613
Colombia,COL,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,20.96090953
Colombia,COL,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,65.90694434
Comoros,COM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.483
Comoros,COM,"Population, total",SP.POP.TOTL,649291
Comoros,COM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,52.83992115
Comoros,COM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.857833609
Comoros,COM,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,40.30224193
"Congo, Dem. Rep.",ZAR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,16.717
"Congo, Dem. Rep.",ZAR,"Population, total",SP.POP.TOTL,58819038
"Congo, Dem. Rep.",ZAR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,71.70585666
"Congo, Dem. Rep.",ZAR,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.309036088
"Congo, Dem. Rep.",ZAR,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,20.98514309
"Congo, Rep.",COG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.791
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3876475
"Congo, Rep.",COG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,57.51187818
"Congo, Rep.",COG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,9.226720194
"Congo, Rep.",COG,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,33.26140386
Costa Rica,CRI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.125
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4532711
Costa Rica,CRI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,6.801546234
Costa Rica,CRI,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,12.52859257
Costa Rica,CRI,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,80.66988161
Cote d'Ivoire,CIV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.479
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,18260044
Cote d'Ivoire,CIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,57.85501896
Cote d'Ivoire,CIV,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,9.354452968
Cote d'Ivoire,CIV,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,32.79053132
Croatia,HRV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.8
Croatia,HRV,"Population, total",SP.POP.TOTL,4434000
Croatia,HRV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.556881872
Croatia,HRV,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.666852739
Croatia,HRV,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,91.77626163
Cuba,CUB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.315
Cuba,CUB,"Population, total",SP.POP.TOTL,11296355
Cuba,CUB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,8.172843487
Cuba,CUB,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.883769444
Cuba,CUB,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,83.94337915
Curacao,CUW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.5
Curacao,CUW,"Population, total",SP.POP.TOTL,141279
Curacao,CUW,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,
Curacao,CUW,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,
Curacao,CUW,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,
Cyprus,CYP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.816
Cyprus,CYP,"Population, total",SP.POP.TOTL,1077089
Cyprus,CYP,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,3.969122552
Cyprus,CYP,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.793460767
Cyprus,CYP,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.23740968
Czech Republic,CZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.1
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10424336
Czech Republic,CZE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,4.150686688
Czech Republic,CZE,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.826303619
Czech Republic,CZE,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.02300775
Denmark,DNK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.9
Denmark,DNK,"Population, total",SP.POP.TOTL,5493621
Denmark,DNK,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.611227076
Denmark,DNK,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.855833458
Denmark,DNK,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,89.53293201
Djibouti,DJI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.582
Djibouti,DJI,"Population, total",SP.POP.TOTL,810100
Djibouti,DJI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,50.13151265
Djibouti,DJI,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,8.096556436
Djibouti,DJI,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,41.7719257
Dominica,DMA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,
Dominica,DMA,"Population, total",SP.POP.TOTL,70883
Dominica,DMA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,10.63163708
Dominica,DMA,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.346627219
Dominica,DMA,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,85.0217357
Dominican Republic,DOM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.983
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9750195
Dominican Republic,DOM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,22.20250697
Dominican Republic,DOM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,9.626961255
Dominican Republic,DOM,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,68.1705426
Ecuador,ECU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.968
Ecuador,ECU,"Population, total",SP.POP.TOTL,14512402
Ecuador,ECU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,19.86589001
Ecuador,ECU,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,14.98730438
